date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-04;Non Branded HubSpot;marketing mix;enabled;28;2;1,07;0;0;0,1;0,9;0,7;0,22;0;0
2021-01-04;Non Branded Funnel;principles of marketing;enabled;30;2;5,43;0;0;0,31;0,69;0,69;0,08;0;0
2021-01-04;Branded;integrated marketing communications;paused;91;5;5,5;0;0;0,1;0,9;0,93;0,41;0;0
2021-01-04;Non Branded Funnel;pay per click marketing;enabled;35;1;1,21;0;0;0,1;0,9;0,56;0,22;0;0
2021-01-04;Non Branded HubSpot;marketing concepts;enabled;12;1;1,31;0;0;0,1;0,9;0,73;0,18;0;0
2021-01-04;Non Branded Funnel;marketing intermediaries;enabled;4;0;0;0;0;0;0;0;0;0;0
2021-01-04;Non Branded Funnel;content marketing agency;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-04;Non Branded HubSpot;mass marketing;enabled;1;0;0;0;0;1;0;0;0;0;0
2021-01-04;Non Branded Funnel;journal of marketing research;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-04;Non Branded Funnel;internet marketing jobs;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-04;Non Branded Funnel;website marketing;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-04;Non Branded Funnel;website marketing;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-05;Non Branded HubSpot;marketing mix;enabled;35;5;2,53;0;0;0,1;0,9;0,76;0,21;0;0
2021-01-05;Non Branded Funnel;principles of marketing;enabled;5;1;4,41;0;0;0,22;0,3;0,2;0;0;0
2021-01-05;Non Branded Funnel;principles of marketing;enabled;19;0;0;0;0;0,2;0,28;0,59;0;0;0
2021-01-05;Branded;integrated marketing communications;paused;28;5;6,3;0;0;0,1;0,53;0,9;0,48;0;0
2021-01-05;Non Branded Funnel;channel marketing;enabled;1;0;0;0;0;0,1;0,48;0;0;0;0
2021-01-05;Non Branded HubSpot;mass marketing definition;enabled;5;0;0;0;0;0,13;0,87;0;0;0;0
2021-01-05;Non Branded Funnel;content marketing agency;enabled;1;0;0;0;0;0,1;0,47;0;0;0;0
2021-01-06;Non Branded HubSpot;marketing mix;enabled;48;3;2,16;0;0;0,1;0,9;0,68;0,1;0;0
2021-01-06;Branded;integrated marketing communications;paused;19;3;1,88;0;0;0,1;0,9;0,82;0,29;0;0
2021-01-06;Non Branded Funnel;social media marketing;enabled;39;0;0;0;0;0,37;0,63;0,11;0;0;0
2021-01-06;Non Branded HubSpot;marketing concepts;enabled;32;0;0;0;0;0,1;0,9;0,77;0,13;0;0
2021-01-06;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-06;Non Branded Funnel;marketing evolution;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-06;Non Branded Funnel;business and marketing;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-06;Non Branded Funnel;global marketing strategy;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-06;Non Branded Funnel;website marketing;enabled;1;0;0;0;0;0,33;0,67;0;0;0;0
2021-01-06;Non Branded Funnel;marketing budget;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-07;Non Branded HubSpot;marketing mix;enabled;55;3;3,26;0;0;0,1;0,9;0,72;0,26;0;0
2021-01-07;Non Branded Funnel;principles of marketing;enabled;13;1;4,2;0;0;0,43;0,53;0,54;0;0;0
2021-01-07;Non Branded Funnel;principles of marketing;enabled;30;0;0;0;0;0,2;0,76;0,68;0,12;0;0
2021-01-07;Non Branded Funnel;pay per click marketing;enabled;101;2;3,48;0;0;0,1;0,88;0,41;0;0;0
2021-01-07;Non Branded Funnel;social media marketing;enabled;35;1;4,17;0;0;0,28;0,63;0,29;0,09;0;0
2021-01-07;Non Branded Funnel;content marketing agency;enabled;6;0;0;0;0;0,1;0,9;0,2;0;0;0
2021-01-07;Non Branded HubSpot;marketing concepts;enabled;36;5;7,9;2;2;0,1;0,9;0,78;0,33;0;0
2021-01-07;Non Branded Funnel;undifferentiated marketing;enabled;4;0;0;0;0;0,57;0,43;0;0;0;0
2021-01-07;Non Branded Funnel;positioning marketing;enabled;1;0;0;0;0;0,33;0,67;0;0;0;0
2021-01-08;Non Branded HubSpot;marketing mix;enabled;34;1;0,76;0;0;0,1;0,9;0,55;0,18;0;0
2021-01-08;Non Branded Funnel;principles of marketing;enabled;15;0;0;0;0;0,47;0,53;0,73;0,07;0;0
2021-01-08;Non Branded Funnel;channel marketing;enabled;5;1;1,2;0;0;0,1;0,9;0,2;0;0;0
2021-01-08;Branded;integrated marketing communications;paused;25;2;1,2;0;0;0,1;0,9;0,63;0,32;0;0
2021-01-08;Non Branded Funnel;pay per click marketing;enabled;88;0;0;0;0;0,1;0,9;0,1;0;0;0
2021-01-08;Non Branded Funnel;social media marketing;enabled;32;2;5,11;0;0;0,24;0,76;0,41;0,13;0;0
2021-01-08;Non Branded HubSpot;marketing concepts;enabled;28;0;0;0;0;0,1;0,9;0,7;0,19;0;0
2021-01-08;Non Branded Funnel;outbound marketing;enabled;11;0;0;0;0;0,1;0,9;0,22;0,11;0;0
2021-01-08;Non Branded Funnel;undifferentiated marketing;enabled;1;0;0;0;0;1;0;0;0;0;0
2021-01-08;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-08;Non Branded Funnel;internet marketing agency;enabled;3;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-08;Non Branded Funnel;content marketing agency;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-08;Non Branded Funnel;internet marketing jobs;enabled;6;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-08;Non Branded Funnel;global marketing strategy;enabled;9;0;0;0;0;0;0;0;0;0;0
2021-01-09;Non Branded Funnel;principles of marketing;enabled;18;1;2,8;0;0;0,15;0,34;0,94;0,18;0;0
2021-01-09;Branded;integrated marketing communications;paused;31;5;5,22;0;0;0,1;0,46;0,93;0,46;0;0
2021-01-09;Non Branded Funnel;pay per click marketing;enabled;36;1;2,63;0;0;0,1;0,44;0,22;0;0;0
2021-01-09;Non Branded Funnel;social media marketing;enabled;17;0;0;0;0;0,14;0,33;0,47;0,24;0;0
2021-01-09;Non Branded HubSpot;marketing concepts;enabled;15;2;2,32;0;0;0,1;0,9;0,93;0,47;0;0
2021-01-09;Non Branded Funnel;marketing consultant;enabled;7;1;4,32;0;1;0,27;0,23;0,14;0;0;0
2021-01-09;Non Branded Funnel;outbound marketing;enabled;7;2;2,4;0;0;0,1;0,45;0,29;0,14;0;0
2021-01-09;Non Branded Funnel;channel marketing;enabled;3;0;0;0;0;0,1;0,46;0;0;0;0
2021-01-09;Non Branded Funnel;marketing intermediaries;enabled;4;0;0;0;0;0,1;0,45;0;0;0;0
2021-01-09;Non Branded Funnel;marketing associate;enabled;1;0;0;0;0;0,17;0,33;0;0;0;0
2021-01-10;Non Branded Funnel;principles of marketing;enabled;44;1;0,69;0;0;0,3;0,7;0,55;0,28;0;0
2021-01-10;Branded;integrated marketing communications;paused;29;2;0,57;0;0;0,1;0,9;0,81;0,35;0;0
2021-01-10;Non Branded Funnel;pay per click marketing;enabled;98;0;0;0;0;0,1;0,9;0,38;0;0;0
2021-01-10;Non Branded HubSpot;principles of marketing;enabled;1;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-10;Non Branded Funnel;marketing intermediaries;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-10;Non Branded Funnel;marketing consultant;enabled;1;0;0;0;0;0,2;0,8;0;0;0;0
2021-01-10;Non Branded Funnel;marketing budget;enabled;3;0;0;0;0;0;0;0;0;0;0
2021-01-11;Non Branded HubSpot;marketing mix;enabled;13;2;1,47;0;0;0,1;0,9;0,46;0,31;0;0
2021-01-11;Non Branded Funnel;principles of marketing;enabled;34;2;4,29;0;0;0,18;0,45;0,79;0,29;0;0
2021-01-11;Branded;integrated marketing communications;enabled;13;0;0;0;0;0,93;0,07;0,77;0,69;0;0
2021-01-11;Branded;integrated marketing communications;paused;53;6;6,42;0;0;0,1;0,83;0,79;0,31;0;0
2021-01-11;Non Branded Funnel;pay per click marketing;enabled;44;0;0;0;0;0,1;0,6;0,14;0;0;0
2021-01-11;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-11;Non Branded Funnel;internet marketing agency;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-11;Non Branded Funnel;content marketing agency;enabled;5;0;0;0;0;0,1;0,62;0;0;0;0
2021-01-11;Non Branded Funnel;marketing consultant;enabled;1;0;0;0;0;0,11;0,44;0;0;0;0
2021-01-11;Non Branded Funnel;global marketing strategy;enabled;3;0;0;0;0;0,1;0,5;0;0;0;0
2021-01-11;Non Branded Funnel;website marketing;enabled;2;0;0;0;0;0,25;0,5;0;0;0;0
2021-01-11;Non Branded Funnel;marketing budget;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-12;Non Branded Funnel;principles of marketing;enabled;37;2;4,8;0;0;0,28;0,67;0,81;0,13;0;0
2021-01-12;Branded;integrated marketing communications;paused;49;3;3,69;0;0;0,1;0,9;0,91;0,32;0;0
2021-01-12;Non Branded Funnel;pay per click marketing;enabled;24;0;0;0;0;0,1;0,9;0,13;0;0;0
